Month,Price
2014-01,13.9
2014-02,14.02
2014-03,13.82
2014-04,14.02
2014-05,14.58
2014-06,14.51
2014-07,14.45
2014-08,14.53
2014-09,14.37
2014-10,14.42
2014-11,14.48
2014-12,14.04
2015-01,14.1
2015-02,14.07
2015-03,14.03
2015-04,14.19
2015-05,13.95
2015-06,13.8
2015-07,14.06
2015-08,14.29
2015-09,13.79
2015-10,13.88
2015-11,14.21
2015-12,14.17
2016-01,14.24
2016-02,14.21
2016-03,14.01
2016-04,14.46
2016-05,14.35
2016-06,13.91
2016-07,12.44
2016-08,13.12
2016-09,13.24
2016-10,13.31
2016-11,13.66
2016-12,13.67
2017-01,13.82
2017-02,13.86
2017-03,13.95
2017-04,13.88
2017-05,13.97
2017-06,13.76
2017-07,13.87
2017-08,13.96
2017-09,13.76
2017-10,13.74
2017-11,13.61
2017-12,13.71
2018-01,13.84
2018-02,14
2018-03,13.93
2018-04,13.99
2018-05,14.19
2018-06,13.94
2018-07,14.09
2018-08,13.97
2018-09,13.89
2018-10,14.14
2018-11,14.56
2018-12,14.6
2019-01,14.69
2019-02,14.73
2019-03,14.81
2019-04,14.8
2019-05,14.98
2019-06,15.18
2019-07,14.96
2019-08,15.2
2019-09,15.27
2019-10,15.57
2019-11,15.3
2019-12,15.34
2020-01,15.43
2020-02,15.34
2020-03,15.54
2020-04,15.03
2020-05,14.82
2020-06,14.81
2020-07,14.84
2020-08,15
2020-09,15.15
2020-10,14.82
2020-11,15.2
2020-12,16.08
2021-01,17.03
2021-02,16.85
2021-03,17.07
2021-04,17.87
2021-05,17.8
2021-06,17.65
2021-07,17.69
2021-08,17.85
2021-09,18
2021-10,18.16
2021-11,18.47
2021-12,18.6
2022-01,18.91
2022-02,18.92
2022-03,19.03
2022-04,19.18
2022-05,19.55
2022-06,19.69
2022-07,20.08
2022-08,20.15
2022-09,20.73
2022-10,21.14
2022-11,21.42
2022-12,21.87
2023-01,22.07
2023-02,22.38
2023-03,22.73
2023-04,22.81
2023-05,23.06
2023-06,23.2
2023-07,23.39
2023-08,23.41
2023-09,23.43
2023-10,23.24
2023-11,23.49
2023-12,23.52
2024-01,23.63
2024-02,23.67
2024-03,23.61
2024-04,23.72
2024-05,23.65
2024-06,23.68
2024-07,23.91
2024-08,23.72